Algorithm,Number_of_Sequences,Number_of_Cluster,smallest_cluster,largest_cluster,average_cluster_size,median_cluster_size,number_of_unclustered_sequences,Average_distance_to_nearest_centroid,cluster_per_species,cluster_per_genus
HDBSCAN,1503,64,6,143,20.88,11.5,167,0.505,--,--
cd-hit-est,1503,67,2,350,21.06,5.0,92,0.655,--,--
sumaclust,1503,56,2,356,22.93,4.0,86,0.626,--,--
MMseqs2,1503,57,2,373,24.75,5.0,92,0.668,--,--
vclust,1503,71,2,348,19.93,5.0,88,0.669,--,--
